date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,isST
2020/12/9,sh.603019,34.45,34.6,33.35,33.45,34.44,25423083,860599266.4,3,1.9525,1,-2.8746,0
2020/12/10,sh.603019,33.4,33.46,32.9,32.95,33.45,19681563,651026420.8,3,1.5116,1,-1.4948,0
2020/12/11,sh.603019,32.96,33.1,31.54,31.78,32.95,36651413,1176358604,3,2.8149,1,-3.5508,0
2020/12/14,sh.603019,31.98,32.08,31.6,31.98,31.78,17984343,572008200.9,3,1.3812,1,0.6293,0
2020/12/15,sh.603019,31.9,33.3,31.73,33.05,31.98,26369757,864145026.4,3,2.0252,1,3.3458,0
2020/12/16,sh.603019,32.8,33.17,32.28,32.31,33.05,15451547,504270244.2,3,1.1867,1,-2.239,0
2020/12/17,sh.603019,32.22,32.65,31.77,32.64,32.31,14451260,465895909.4,3,1.1099,1,1.0214,0
2020/12/18,sh.603019,33,33.01,32.04,32.04,32.64,15228546,494978949.6,3,1.1696,1,-1.8382,0
2020/12/21,sh.603019,32.2,33.19,32.08,33,32.04,18482663,607665397.7,3,1.4195,1,2.9963,0
2020/12/22,sh.603019,32.88,33.4,32.43,32.48,33,17738591,584014551.7,3,1.3624,1,-1.5758,0
